id,latitude,longitude
buoy_main,24.535,56.629
buoy_oos,24.513,56.647
offshore_1,25,56.4
offshore_2,25.4,56.4
offshore_3,25.6,56.4
offshore_4,24.6,56.6
offshore_5,24.8,56.6
offshore_6,25,56.6
offshore_7,25.2,56.6
offshore_8,25.4,56.6
offshore_9,25.6,56.6
offshore_10,24.4,56.8
offshore_11,24.6,56.8
offshore_12,24.8,56.8
offshore_13,25,56.8
offshore_14,25.2,56.8
offshore_15,25.4,56.8
offshore_16,25.6,56.8
offshore_17,24.4,57
offshore_18,24.6,57
offshore_19,24.8,57
offshore_20,25,57
offshore_21,25.2,57
offshore_22,25.4,57
offshore_23,25.6,57
offshore_24,24,57.2
offshore_25,24.2,57.2
offshore_26,24.4,57.2
offshore_27,24.6,57.2
offshore_28,24.8,57.2
offshore_29,25,57.2
offshore_30,25.2,57.2
offshore_31,25.4,57.2
offshore_32,25.6,57.2
offshore_33,24,57.4
offshore_34,24.2,57.4
offshore_35,24.4,57.4
offshore_36,24.6,57.4
offshore_37,24.8,57.4
offshore_38,25,57.4
offshore_39,25.2,57.4
offshore_40,25.4,57.4
offshore_41,25.6,57.4
offshore_42,23.8,57.6
offshore_43,24,57.6
offshore_44,24.2,57.6
offshore_45,24.4,57.6
offshore_46,24.6,57.6
offshore_47,24.8,57.6
offshore_48,25,57.6
offshore_49,25.2,57.6
offshore_50,25.4,57.6
offshore_51,25.6,57.6
offshore_52,23.8,57.8
offshore_53,24,57.8
offshore_54,24.2,57.8
offshore_55,24.4,57.8
offshore_56,24.6,57.8
offshore_57,24.8,57.8
offshore_58,25,57.8
offshore_59,25.2,57.8
offshore_60,25.4,57.8
offshore_61,25.6,57.8
offshore_62,23.8,58
offshore_63,24,58
offshore_64,24.2,58
offshore_65,24.4,58
offshore_66,24.6,58
offshore_67,24.8,58
offshore_68,25,58
offshore_69,25.2,58
offshore_70,25.4,58
offshore_71,25.6,58
offshore_72,23.8,58.2
offshore_73,24,58.2
offshore_74,24.2,58.2
offshore_75,24.4,58.2
offshore_76,24.6,58.2
offshore_77,24.8,58.2
offshore_78,25,58.2
offshore_79,25.2,58.2
offshore_80,25.4,58.2
offshore_81,23.6,58.4
offshore_82,23.8,58.4
offshore_83,24,58.4
offshore_84,24.2,58.4
offshore_85,24.4,58.4
offshore_86,24.6,58.4
offshore_87,24.8,58.4
offshore_88,25,58.4
offshore_89,25.2,58.4
offshore_90,25.4,58.4
offshore_91,25.6,58.4
offshore_92,23.6,58.6
offshore_93,23.8,58.6
offshore_94,24,58.6
offshore_95,24.2,58.6
offshore_96,24.4,58.6
offshore_97,24.6,58.6
offshore_98,24.8,58.6
offshore_99,25,58.6
offshore_100,25.2,58.6
offshore_101,25.4,58.6
